Index,Strain,Type,Rating,Effects,Description,Flavors,Nearest
837,Lemonder,hybrid,3.86,"Happy,Uplifted,Giggly,Energetic,Euphoric","Lemonder is a body-heavy hybrid with an outstanding aroma. This strain is a cross of Lavender, Super Lemon Haze, and OG Kush, and offers alert mental clarity and relaxing physical effects. The buds glitter with trichomes and are tangled in orange/bronze hairs. Its aroma smells like lemon peel, pine needles, and a sprinkling of earthy spice. Enjoy Lemonder throughout the day as its effects are manageable and won’t pull too firmly toward stimulation or relaxation. Expect smile-inducing euphoria and a calming, carefree body buzz.","Citrus,Lemon,Earthy","837,1263,83,1271,1942,576"
838,Bay 11,sativa,3.86,"Happy,Relaxed,Uplifted,Energetic,Creative","Bay 11, bred by Grand Daddy Purp, is a potent sativa strain with unspecified genetics. Its dense, pale buds are coated in amber resin with a sweet, fruity aroma that initiates immediate relaxation. A favorite strain for patients needing daytime relief, Bay 11 eases pain while boosting appetite. Bay 11 has a 67 day flowering period indoors, and outdoor gardens will be ready for harvest near the end of October.","Sweet,Earthy,Citrus","838,1468,9,1151,1036,1359"
839,Confidential Cheese,indica,3.86,"Sleepy,Uplifted,Relaxed,Tingly,Happy","Confidential Cheese by DNA Genetics is a crossbred hybrid of Cheese and LA Confidential. This indica-dominant strain has pale green crystal-covered buds with a sour cheese aroma inherited from its parent. Medical patients have used the potent and heavy effects of Confidential Cheese to treat severe pain, insomnia, and lost appetite. For growers, this strain finishes flowering in 8 to 9 weeks with moderate yields.","Cheese,Pine,Woody","839,242,1028,834,1783,1746"
840,Bananas,hybrid,3.86,"Relaxed,Energetic,Happy,Uplifted,Focused","Bananas from Leafs by Snoop is an indica-dominant hybrid strain offered in concentrate form. This shatter intends to capture sweet tropical flavors of fruit and banana, and offers energizing cerebral effects to fuel creativity. This strain is high in THC with a potency that’s said to stretch to 22%.","Tropical,Grape,Vanilla","840,1277,475,844,219,177"
841,Kimbo Kush,hybrid,3.86,"Relaxed,Sleepy,Happy,Focused,Uplifted","Kimbo Kush, named for the late Kimbo Slice, is a beautifully flavorful indica-dominant hybrid with a lineage that is fruity and stunning. A cross between Blackberry Kush and Starfighter, this strong parentage offers a heavier than average Kush experience, leaning closer to a full indica buzz with every puff. Starfighter supplies Kimbo with a touch of citrus and a brightness that illuminates the thoughtful elements of its Kush genetics. Enjoy this strain at the end of the day, as it can have potent relaxing effects that might give you the 1-2 punch K.O. Kimbo Slice was known for.","Earthy,Sweet,Pungent","841,390,1030,1865,477,113"
842,Killing Fields,sativa,3.86,"Energetic,Happy,Focused,Euphoric,Uplifted","Killing Fields is the result of some clever breeding by Sannie’s Seeds. Using two of their own strains, The One and Jack, they’ve come up with this sativa that is known for its complex aroma. Killing fields packs a candy sugar and spice mix with notes of berry and citrus. It feels like a treat, especially for patients looking for something tasty. Like many sativas, this strain is slower to flower at 11-13 weeks. It grows tall, so space is a must, especially since these plants do best indoors. When the buds do show up, they will be large foxtails of dark green and blue. This is one for sativa lovers with a strong, cerebral feeling that lasts.","Lemon,Citrus,Pungent","842,1590,1758,1511,1472,740"
843,Strawberry Amnesia,sativa,3.86,"Creative,Relaxed,Uplifted,Euphoric,Energetic","A powerful and uplifting flower from Dinafem Seeds, Strawberry Amnesia is a strain made in sativa heaven. Bred from Strawberry Cough and Amnesia, this strain delivers the familiar sweet strawberry and earthy flavors of its parents. Having the typical energizing and euphoric effects of a sativa, Strawberry Amnesia also induces the calming body high from its distant indica relatives. The dark green buds of Strawberry Amnesia are very dense and heavily coated in resin, so this potent sativa should be handled with caution.","Strawberry,Sweet,Earthy","843,8,652,1975,1105,1733"
844,Strawberry Banana,hybrid,3.86,"Relaxed,Euphoric,Happy,Uplifted,Creative","Strawberry Banana is a 70/30 indica-dominant cannabis strain developed by DNA Genetics in collaboration with Serious Seeds. A genetic cross between Crockett’s Banana Kush and the “Strawberry” phenotype of Bubble Gum, Strawberry Banana inherits a sweet fruity flavor that earned this hybrid her name. Known for its heavy resin production and high THC content, Strawberry Banana produces happy, peaceful effects that sharpen creativity and sensory awareness.","Strawberry,Sweet,Berry","844,219,418,1277,1287,307"
845,Kilimanjaro,sativa,3.86,"Happy,Focused,Uplifted,Creative,Energetic","Kilimanjaro is a pure sativa landrace from the mountain slopes of Tanzania, where it was originally cultivated for use in hunting and religious practice by the native population. Tribes commonly referred to this strain as the “elephant stomper” and utilized it for its energetic, hyper effects. Its aroma carries notes of lemony citrus and fruit, and Kilimanjaro’s tall growth makes it ideal for outdoor or greenhouse gardens.","Lemon,Earthy,Spicy/Herbal","845,1727,1059,1143,2153,2101"
846,Cookie Dough,hybrid,3.86,"Relaxed,Happy,Euphoric,Giggly,Hungry","Cookie Dough is a wonderfully potent Girl Scout Cookies phenotype. This particular version of the West Coast’s most popular strain exhibits an orange/yellowish sheen of trichomes and a pungent doughy aroma. Cookie Dough’s effects align closely with GSC’s, offering medical-grade sedation on the body and a well-lit mind that borders on speedy. Enjoy this strain as a means to stimulate appetite and dull physical pain while remaining mentally alert. Beginners beware, as this potent phenotype can be overwhelming. Negative effects such as mild dizziness and dry eyes have been noted by some consumers.","Sweet,Earthy,Vanilla","846,705,169,1258,329,148"
847,Key Lime Pie,hybrid,3.86,"Happy,Relaxed,Uplifted,Sleepy,Creative","Key Lime Pie from Burning Bush Nurseries is a gourmet phenotype of the superstar strain Girl Scout Cookies. Selected for its strong indica characteristics and heavy resin production, this dynamic hybrid boasts flavors of lime candy, mint, and spice that spark flavors of earth and chocolate when activated by heat. The buds of Key Lime Pie regularly show traces of purple hues due to the plant’s affinity towards colder temperatures. The bold indica influence produces relaxing body effects that help to relieve chronic pain and insomnia, but have been known to overwhelm those less familiar with cannabis.","Lime,Sweet,Citrus","847,525,814,461,29,1183"
848,Cookie Monster,indica,3.86,"Relaxed,Happy,Hungry,Sleepy,Euphoric","Cookie Monster is a 2014 Seattle Cannabis Cup winner that blends the West Coast royalty, Girl Scout Cookies, and the legendary powerhouse, OG Kush. This combination yields dense frosted buds with hints of purple and orange hairs throughout. A 20/80 indica-dominant hybrid, Cookie Monster pushes the boundaries of Cookies’ medical uses and leans toward medium-to-full sedation. Use Cookie Monster to reduce physical discomfort, indigestion, or before bed to jumpstart your dream machine.","Sweet,Earthy,Flowery","848,705,710,566,90,525"
849,Cookies And Dream,hybrid,3.86,"Uplifted,Relaxed,Happy,Euphoric,Giggly","Cookies & Dream is a sativa-dominant hybrid strain that is a harmonious blend of fan favorites Blue Dream, also a favorite of lead artists Dominic and Jeremy of Big Gigantic, and combined with the robustly sweet flavors of Girl Scout Cookies. Ideal for social gatherings, this blend produces a euphoric body buzz and packs a strong sativa kick to keep your energy up. Cookies & Dream was curated in Colorado with love by Native Roots in collaboration with Big Gigantic to showcase this special blend.","Sweet,Berry,Citrus","849,720,1133,634,1266,1183"
850,B4,hybrid,3.86,"Happy,Uplifted,Euphoric,Focused,Relaxed","B4, bred by MTG Seeds, is a hybrid cannabis strain that descends from Blue Dream and Chemdawg 4. Blissful, lightweight euphoria helps incite happiness and laughter, making this strain a perfect choice for stress and anxiety relief. Green-blue hues peek out from under a silvery coat of crystal trichomes, and its dense bud structure is telling of its OG Kush ancestry.","Spicy/Herbal,Berry,Skunk","850,250,1986,898,1406,1528"
851,Strawberry Satori,sativa,3.86,"Uplifted,Creative,Relaxed,Happy,Energetic","Strawberry Satori is a mostly sativa strain, fathered by Satori and mothered by Strawberry Cough. With a sweet grape and strawberry aroma, these buds deliver uplifting, creative effects that are especially useful in treating anxiety and PTSD. In fact, Strawberry Satori was bred as an anti-anxiety medication by prioritizing the presence of Linalool, a calming terpene that affects GABA receptors.","Strawberry,Berry,Pungent","851,652,843,1975,1105,1477"
852,Sugar Black Rose,indica,3.86,"Relaxed,Euphoric,Happy,Sleepy,Uplifted","Sugar Black Rose is a cross of Critical Mass and Black Domina bred by Delicious Seeds. An indica-dominant hybrid, Sugar Black Rose has a sweet taste with hints of fruit and fresh flowers. The aroma takes on a pungent, earthy musk that resembles exotic hash imported from overseas, and brings with it a relaxing body buzz that helps keep nausea, anxiety, and muscle pains at bay.","Rose,Sweet,Flowery","852,96,1450,1317,1911,1766"
853,Kaboom,sativa,3.86,"Energetic,Happy,Uplifted,Creative,Euphoric",Kaboom is a cross that combines Jack's Cleaner genetics with those of Vortex. This sativa-dominant strain gives you an energetic head buzz that provides a spark of creativity and lifts the mood. Medical patients enjoy Kaboom's ability to relieve pain while maintaining daily functions.,"Lemon,Pine,Earthy","853,1460,1748,1795,799,1744"
854,Sugar Plum,sativa,3.86,"Euphoric,Happy,Relaxed,Uplifted,Creative","Sugar Plum from Stoney Girl Gardens is an award-winning sativa bred by crossing Berkeley Blues and Hawaiian Haze Plum. With a tropical and earthy flavor, Sugar Plum produces hard-hitting and long-lasting cerebral effects. Its THC content has been measured as high as 28%, a much-needed potency for patients treating severe pain, nausea, glaucoma, mood disorders, and gastrointestinal complications. This 90% sativa is a good beginner grow, with a recommended flowering period of 35 days for indoor gardens.","Sweet,Plum,Tropical","854,1486,1282,1372,1958,299"
855,Bsc,hybrid,3.86,"Relaxed,Happy,Hungry,Euphoric,Giggly","BSC is a hybrid cannabis strain that follows in the footsteps of its Girl Scout Cookies parent, but named for the youthful scouting group's male equivalant. With potent effects that hug the mind and body in tranquil euphoria BSC introduces deep, heavy relaxation throughout the body, but not before making your head reel with calm and happy thoughts. The cerebral buzz tapers down into a foggy daze that helps you abandon worries and slide into a low-key afternoon or a restful night’s sleep. Putting your nose in a jar of BSC isn’t altogether unlike stealing a smell from the cookie jar in your kitchen as sweet, earthy aromas burst forth with subtle notes of woody pine.","Earthy,Pungent,Sweet","855,710,566,705,507,730"
856,Julius Caesar,hybrid,3.86,"Happy,Euphoric,Uplifted,Relaxed,Focused","A Cali Connection product, Julius Caesar is the child of imperial powers SoCal Master Kush and SFV OG Kush, giving it a high quality pedigree. Plants have average growing and yield characteristics, including a flowering time of 8 to 10 weeks. Effects are powerful and take over quickly, much like the conqueror it is named after. A high THC content makes this strain ideal for complete (although sometimes brief) stress and anxiety relief.","Earthy,Pine,Sweet","856,1952,970,2047,1103,812"
857,Juliet,hybrid,3.86,"Happy,Uplifted,Energetic,Euphoric,Relaxed",Juliet is a sativa-dominant hybrid cross between Cinderella 99 and NYC Diesel that uplifts both mind and body with a sweet berry aroma. A subtle buzz of cerebral energy promotes focus and sharpens the senses in a comfortable psychoactive experience conducive to social activities. Juliet’s happy calm may be useful for patients treating mood and stress disorders like anxiety and depression.,"Pine,Sweet,Earthy","857,1585,150,973,1529,1266"
